mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__bootstrap,param_classifier__max_depth,param_classifier__max_features,param_classifier__min_samples_leaf,param_classifier__min_samples_split,param_classifier__n_estimators,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
3.380282998085022,0.43228375911712646,1.1889989376068115,0.23599720001220703,True,5,2,3,4,8,"{'classifier__bootstrap': True, 'classifier__max_depth': 5, 'classifier__max_features': 2, 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 4, 'classifier__n_estimators': 8}",0.47825622767864095,0.46201632182408503,0.470136274751363,0.008119952927277962,253
3.231500744819641,0.027498364448547363,1.0730175971984863,0.06297874450683594,True,5,2,3,4,10,"{'classifier__bootstrap': True, 'classifier__max_depth': 5, 'classifier__max_features': 2, 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 4, 'classifier__n_estimators': 10}",0.4456063814904355,0.40795608916485593,0.4267812353276457,0.018825146162789796,285
4.001015901565552,0.07901549339294434,1.1050024032592773,0.00800180435180664,True,5,2,3,4,15,"{'classifier__bootstrap': True, 'classifier__max_depth': 5, 'classifier__max_features': 2, 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 4, 'classifier__n_estimators': 15}",0.4385750033700603,0.3811556877026253,0.4098653455363428,0.028709657833717483,287
4.709999680519104,0.17000019550323486,1.2020156383514404,0.023015499114990234,True,5,2,3,4,20,"{'classifier__bootstrap': True, 'classifier__max_depth': 5, 'classifier__max_features': 2, 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 4, 'classifier__n_estimators': 20}",0.4746031637468764,0.42400668581777945,0.4493049247823279,0.02529823896454847,275
2.9172582626342773,0.017742633819580078,0.9675377607345581,0.014463067054748535,True,5,2,3,5,8,"{'classifier__bootstrap': True, 'classifier__max_depth': 5, 'classifier__max_features': 2, 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 8}",0.4605961226224756,0.4189929401695309,0.4397945313960033,0.02080159122647235,282
3.1854987144470215,0.02447056770324707,0.9899824857711792,0.018986105918884277,True,5,2,3,5,10,"{'classifier__bootstrap': True, 'classifier__max_depth': 5, 'classifier__max_features': 2, 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 10}",0.441483293398807,0.4924450763708329,0.46696418488481994,0.025480891486012958,257
3.9245258569717407,0.07156121730804443,1.0769994258880615,0.0020003318786621094,True,5,2,3,5,15,"{'classifier__bootstrap': True, 'classifier__max_depth': 5, 'classifier__max_features': 2, 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 15}",0.4705072355073362,0.46290294952673405,0.4667050925170351,0.0038021429903010717,258
4.656909346580505,0.022904038429260254,1.1866588592529297,0.0086212158203125,True,5,2,3,5,20,"{'classifier__bootstrap': True, 'classifier__max_depth': 5, 'classifier__max_features': 2, 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 20}",0.4976321648415035,0.4789986390936102,0.48831540196755685,0.009316762873946671,238
5.704110622406006,2.8771538734436035,0.9670183658599854,0.0010180473327636719,True,5,2,3,6,8,"{'classifier__bootstrap': True, 'classifier__max_depth': 5, 'classifier__max_features': 2, 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 6, 'classifier__n_estimators': 8}",0.48763196401356446,0.43976382767068956,0.463697895842127,0.02393406817143745,264
3.20741605758667,0.008431196212768555,0.9985191822052002,0.0035173892974853516,True,5,2,3,6,10,"{'classifier__bootstrap': True, 'classifier__max_depth': 5, 'classifier__max_features': 2, 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 6, 'classifier__n_estimators': 10}",0.45368079640130354,0.45476705613535007,0.4542239262683268,0.000543129867023262,269
4.01906430721283,0.019045472145080566,1.0960910320281982,0.0018584728240966797,True,5,2,3,6,15,"{'classifier__bootstrap': True, 'classifier__max_depth': 5, 'classifier__max_features': 2, 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 6, 'classifier__n_estimators': 15}",0.4906991456818157,0.44732043601029936,0.46900979084605754,0.02168935483575818,256
4.65800416469574,0.024002909660339355,1.1885141134262085,0.008484482765197754,True,5,2,3,6,20,"{'classifier__bootstrap': True, 'classifier__max_depth': 5, 'classifier__max_features': 2, 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 6, 'classifier__n_estimators': 20}",0.4448895912933907,0.4601067538078708,0.45249817255063074,0.007608581257240066,272
2.9235199689865112,0.018519282341003418,0.9609984159469604,0.0029991865158081055,True,5,2,4,4,8,"{'classifier__bootstrap': True, 'classifier__max_depth': 5, 'classifier__max_features': 2, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 4, 'classifier__n_estimators': 8}",0.4814160803066784,0.48694731770896715,0.48418169900782276,0.00276561870114439,242
3.1415181159973145,0.0014834403991699219,0.9960013628005981,0.0010014772415161133,True,5,2,4,4,10,"{'classifier__bootstrap': True, 'classifier__max_depth': 5, 'classifier__max_features': 2, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 4, 'classifier__n_estimators': 10}",0.4657051360037092,0.41976199708784456,0.4427335665457769,0.022971569457932328,280
3.936517357826233,0.01348268985748291,1.0865027904510498,0.004500150680541992,True,5,2,4,4,15,"{'classifier__bootstrap': True, 'classifier__max_depth': 5, 'classifier__max_features': 2, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 4, 'classifier__n_estimators': 15}",0.4818473216996766,0.47327032407987035,0.47755882288977347,0.0042884988099031185,249
4.641034007072449,0.09899747371673584,1.1839836835861206,0.003983616828918457,True,5,2,4,4,20,"{'classifier__bootstrap': True, 'classifier__max_depth': 5, 'classifier__max_features': 2, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 4, 'classifier__n_estimators': 20}",0.4884832647899132,0.4192893710144264,0.4538863179021698,0.034596946887743396,270
2.9291573762893677,0.01159369945526123,0.9620935916900635,0.0051250457763671875,True,5,2,4,5,8,"{'classifier__bootstrap': True, 'classifier__max_depth': 5, 'classifier__max_features': 2, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 8}",0.41280546931593565,0.46638075709842663,0.43959311320718114,0.026787643891245494,283
3.2352710962295532,0.00875866413116455,1.0314674377441406,0.02550339698791504,True,5,2,4,5,10,"{'classifier__bootstrap': True, 'classifier__max_depth': 5, 'classifier__max_features': 2, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 10}",0.4401299114698236,0.4495981882550645,0.44486404986244404,0.004734138392620435,278
3.9130181074142456,0.029981493949890137,1.0829977989196777,0.0050008296966552734,True,5,2,4,5,15,"{'classifier__bootstrap': True, 'classifier__max_depth': 5, 'classifier__max_features': 2, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 15}",0.42463202130804645,0.4417766587696852,0.4332043400388658,0.008572318730819373,284
4.683443069458008,0.04444456100463867,1.1842029094696045,0.003055572509765625,True,5,2,4,5,20,"{'classifier__bootstrap': True, 'classifier__max_depth': 5, 'classifier__max_features': 2, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 20}",0.42653761298240556,0.46484334617641077,0.44569047957940816,0.019152866597002605,277
2.9190346002578735,0.05499827861785889,0.9414632320404053,0.009500503540039062,True,5,2,4,6,8,"{'classifier__bootstrap': True, 'classifier__max_depth': 5, 'classifier__max_features': 2, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 6, 'classifier__n_estimators': 8}",0.4447626459488182,0.5499958630832817,0.49737925451605,0.05261660856723177,225
3.1755387783050537,0.0024993419647216797,0.9974797964096069,0.0015178918838500977,True,5,2,4,6,10,"{'classifier__bootstrap': True, 'classifier__max_depth': 5, 'classifier__max_features': 2, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 6, 'classifier__n_estimators': 10}",0.48923747925529626,0.4776557514891786,0.48344661537223743,0.005790863883058828,245
3.871002435684204,0.030999422073364258,1.0729997158050537,0.001966238021850586,True,5,2,4,6,15,"{'classifier__bootstrap': True, 'classifier__max_depth': 5, 'classifier__max_features': 2, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 6, 'classifier__n_estimators': 15}",0.48852681813868615,0.4122130196201991,0.4503699188794426,0.03815689925924354,274
4.730501294136047,0.08549916744232178,1.2820156812667847,0.08998334407806396,True,5,2,4,6,20,"{'classifier__bootstrap': True, 'classifier__max_depth': 5, 'classifier__max_features': 2, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 6, 'classifier__n_estimators': 20}",0.4988265736404258,0.4877690664258617,0.49329782003314376,0.005528753607282055,230
